Name	Buildcost	Haulingcost	Market sell	Amount on market	Stock in xanadu	Stock in chanuur	Order price	Avg daily volume	Item category	Max output
Plagioclase Mining Crystal II	147663.99004792755788422608527	8000	214995.99	1500	3500	0	214997.49	1500	Charge	14783
Power Diagnostic System II	439064.98584436108394685036788	4000	689839.85	0	2700	0	0	1465	Module	3032
Praetor II	1312751.7209112112711618960017	20000	1945000.0	0	0	0	0	1530	Drone	1576
Rapid Light Missile Launcher II	593333.24146939169656640834637	8000	925000.0	321	0	0	937795.97	2792	Module	1516
Reactor Control Unit II	408204.59579743021997169724522	4000	670931.92	210	2750	0	670984.98	731	Module	3032
Remote Sensor Dampener II	904515.2678119748843866388755	4000	1263122.3	0	0	0	0	482	Module	1516
Remote Tracking Computer II	655917.57876932712338268946431	4000	549967.98	1311	1500	0	827363.62	48	Module	1516
Scourge Fury Cruise Missile	396.07931835618815577565556602	40.00	559.33	0	0	0	0	2787578	Charge	2460000
Scourge Fury Light Missile	50.055965744219305965063521465	12.000	76.78	0	0	0	0	1922377	Charge	7390000
Scourge Precision Cruise Missile	396.07931835618815577565556602	40.00	669.99	0	0	0	0	392346	Charge	2460000
Scourge Precision Light Missile	50.055965744219305965063521465	12.000	50.0	0	0	0	0	330329	Charge	7390000
Scourge Rage Torpedo	1195.3769993444351649506686872	40.00	1399.98	1499400	485800	0	1541.13	279286	Charge	2460000
Sensor Booster II	646517.03524153816582993013674	4000	998000.0	0	0	0	0	2069	Module	1516
Shield Boost Amplifier II	557594.15041447484780581748648	4000	633330.37	75	2262	0	712834.46	293	Module	1516
Signal Amplifier II	595759.96187150394458550457724	4000	741979.0	0	0	0	0	403	Module	3032
Signal Amplifier II	595759.96187150394458550457724	4000	741979.0	0	0	0	0	403	Module	3032
Signal Amplifier II	595759.96187150394458550457724	4000	741979.0	0	0	0	0	403	Module	3032
Signal Amplifier II	595759.96187150394458550457724	4000	741979.0	0	0	0	0	403	Module	3032
Signal Amplifier II	595759.96187150394458550457724	4000	741979.0	0	0	0	0	403	Module	3032
Small Cap Battery II	360940.06783854964598516571069	4000	679789.8	51	3470	0	679789.95	210	Module	3032
Small Capacitor Booster II	383692.74541715199564923552065	4000	598999.99	996	0	0	599886.98	891	Module	3032
Small EMP Smartbomb II	238817.47317481188987485417124	4000	419997.91	278	0	0	419997.91	40	Module	3032
Small Focused Beam Laser II	477376.28002810605782758710274	4000	748992.92	239	2000	0	748992.97	721	Module	3032
Small Focused Pulse Laser II	408190.89129424670782410820808	4000	510000.0	2	250	0	539866.53	833	Module	3032
Small Shield Booster II	176444.41416185000529303486593	4000	249983.29	116	5250	0	249983.30	268	Module	3032
Small Shield Extender II	154601.46861748061801964543925	4000	325000.0	0	0	0	0	810	Module	3032
Spike L	194.77302684858768485799649152	20.000	149.33	0	0	0	0	339911	Charge	2460000
Spike S	24.987851927022598145803374911	2.0000	42.48	0	0	0	0	1585539	Charge	7390000
Spike S	24.987851927022598145803374911	2.0000	42.48	0	0	0	0	1585539	Charge	7390000
Spodumain Mining Crystal II	362750.50506849192176367258391	8000	439999.94	0	11200	0	0	1050	Charge	14783
Thermal Dissipation Field II	1103488.3510993639650522003282	4000	1642880.0	0	0	0	0	482	Module	1516
Thermal Plating II	107786.00172834026916466259386	4000	69988.15	0	269	0	0	52	Module	3032
Tracking Computer II	678903.76563520871139703660317	4000	1089494.95	0	0	0	0	1245	Module	1516
Tracking Disruptor II	724809.422376099245642439425	4000	1100000.0	200	0	0	1111110.95	218	Module	1516
Tracking Enhancer II	502169.93238861030916882434584	4000	725000.0	21	0	0	728004.56	1498	Module	3032
Tracking Enhancer II	502169.93238861030916882434584	4000	725000.0	21	0	0	728004.56	1498	Module	3032
Wasp II	1280072.3946476703570178150107	20000	1730000.0	0	0	0	0	1335	Drone	1576
Anathema	15560655.690217611705789561007	2000000.0	22828990.0	0	0	0	0	39	Ship	59
Ares	14190432.988912805006459732902	2000000.0	22144410.0	0	0	0	0	195	Ship	59
Bustard	169132899.94136645058370527342	16000000.0	220000000.0	0	8	0	0	22	Ship	29
Buzzard	17012411.764094822193836319292	2000000.0	23491999.7	0	0	0	0	84	Ship	59
Claw	13657521.015390984852388772963	2000000.0	21123961.0	0	0	0	0	189	Ship	59
Claymore	270513555.33733406021806884386	12000000.0	325884634.51	7	23	0	351999996.96	7	Ship	23
Crane	109011071.52638768571108224332	16000000.0	149999997.0	0	0	0	0	30	Ship	29
Crow	16696483.968746376935315538515	2000000.0	23999989.0	0	0	0	0	108	Ship	59
Crusader	15346642.079387631415092652407	2000000.0	22049928.0	73	0	0	22049929.94	58	Ship	59
Crusader	15346642.079387631415092652407	2000000.0	22049928.0	73	0	0	22049929.94	58	Ship	59
Deimos	151335348.90206349476259107954	8000000.0	192794724.7	11	13	0	196499999.99	22	Ship	29
Eagle	176261914.59425255744771728998	8000000.0	169885226.4	33	0	0	222000000.00	7	Ship	29
Enyo	18758334.651909470367617490712	2000000.0	26999898.97	7	0	0	26999899.93	29	Ship	59
Eris	37556670.717220879236240623054	4000000.0	47000131.86	0	17	0	0	13	Ship	39
Flycatcher	43978166.226508397584614269131	4000000.0	62098998.0	0	0	0	0	65	Ship	39
Guardian	144377637.96827585915694033192	8000000.0	175999999.04	0	0	0	0	54	Ship	29
Harpy	22737632.284356189742530418163	2000000.0	28749996.0	0	0	0	0	39	Ship	59
Hawk	21725134.064110340534276117892	2000000.0	29497998.0	0	0	0	0	41	Ship	59
Helios	13954332.204475052374529788897	2000000.0	22549635.0	0	0	0	0	78	Ship	59
Heretic	40406914.143124430269796372228	4000000.0	52000000.0	0	0	0	0	28	Ship	39
Hound	14540517.6446529098045340550	2000000.0	22999999.99	0	0	0	0	136	Ship	59
Ishkur	20326098.181849290869882645432	2000000.0	26299540.0	0	26	0	0	19	Ship	59
Jaguar	18213849.378668918889860111975	2000000.0	24500000.0	0	0	0	0	21	Ship	59
Lachesis	138448076.31918968320585419369	8000000.0	207998331.99	0	0	0	0	27	Ship	29
Malediction	15346642.079387631415092652407	2000000.0	22496936.0	0	0	0	0	196	Ship	59
Mastodon	136545444.57618955265054312399	16000000.0	194984999.95	0	0	0	0	17	Ship	29
Muninn	145667053.04939286733239881859	8000000.0	169800100.0	13	0	0	189999990.99	13	Ship	29
Nemesis	15040787.628672037597759306324	2000000.0	21299958.0	0	0	0	0	97	Ship	59
Nighthawk	312590565.0242324763507445594	12000000.0	267999997.0	0	10	0	0	4	Ship	23
Prorator	99283387.55858420620356933436	16000000.0	141089999.89	9	0	0	141799997.99	16	Ship	29
Prowler	86600415.84306512491556491279	16000000.0	130296834.99	0	0	0	0	20	Ship	29
Purifier	16663841.172516635544587984315	2000000.0	24000000.0	0	0	0	0	134	Ship	59
Raptor	16696483.968746376935315538515	2000000.0	24549792.0	0	0	0	0	107	Ship	59
Retribution	21113288.045347354545371465385	2000000.0	26398996.0	0	0	0	0	15	Ship	59
Skiff	130948655.26591617660000689753	3000000.0	178330887.0	0	0	0	0	69	Ship	29
Sleipnir	268189987.194122835939568964	12000000.0	390000000.0	0	0	0	0	31	Ship	23
Stiletto	13657521.015390984852388772963	2000000.0	21699930.97	0	0	3	0	204	Ship	59
Taranis	14190432.988912805006459732902	2000000.0	23494991.0	0	0	0	0	93	Ship	59
Vagabond	143983305.83452508027443744971	8000000.0	184944442.97	13	13	0	189993113.87	24	Ship	29
Vengeance	20136387.926902515581183688358	2000000.0	27039999.99	0	0	0	0	18	Ship	59
Viator	90000611.07431742434513254439	16000000.0	125000000.0	0	0	0	0	45	Ship	29
Vulture	318507892.1753696296605547122	12000000.0	385999906.0	5	20	0	411423000.00	6	Ship	23
Wolf	19228289.691915426509747744227	2000000.0	23699977.0	0	0	0	0	26	Ship	59
Bustard	169132899.94136645058370527342	16000000.0	220000000.0	0	8	0	0	22	Ship	29
Absolution	293350689.70116970323935127899	12000000.0	289699998.0	0	10	0	0	4	Ship	23
Zealot	159363523.40107096312541052871	8000000.0	124969992.0	0	0	0	0	12	Ship	29
Purifier	16663841.172516635544587984315	2000000.0	24000000.0	0	0	0	0	134	Ship	59
market orders cached until	17/4/2017 21:14:01
build corp assets cached until	18/4/2017 2:14:00
empire donkey corp assets cached until	17/4/2017 21:51:27
