Name	Amount buildt	Total Value	Total Cost	Profit
Medium Energy Nosferatu II	3032	10908351651.92	7217116780.37	3691234871.55
Medium Proton Smartbomb II	3032	4851345596.64	1312693151.86	3538652444.78
Medium Shield Booster II	6064	2904656000.0	1955907089.23	948748910.77
Medium Shield Extender II	6064	4201743780.8	1758030356.15	2443713424.65
Mega Beam Laser II	2021	5252579000.0	6938264113.24	-1685685113.24
Miner II	6064	4966409936.0	1996598265.61	2969811670.39
Mjolnir Fury Cruise Missile	4925000	2639159750.00	1594158748.67	1045001001.33
Mobile Small Warp Disruptor II	946	5226649044.54	1273799977.60	3952849066.94
Mobile Small Warp Disruptor II	946	5226649044.54	1273799977.60	3952849066.94
Nova Javelin Torpedo	4925000	4432500000.0	4815786669.11	-383286669.11
Ogre II	3153	5044795806.51	3626116577.20	1418679229.31
Omber Mining Crystal II	29566	4612301913.2	3252705312.78	1359596600.42
Plagioclase Mining Crystal II	29566	5913200000.0	2850945876.27	3062254123.73
Power Diagnostic System II	6064	4705663818.08	2352514558.02	2353149260.06
Praetor II	3153	5517743662.47	3624661552.42	1893082110.05
Rapid Light Missile Launcher II	3032	3335200000.0	1518825183.54	1816374816.46
Reactor Control Unit II	6064	4238717626.08	2184495109.14	2054222516.94
Remote Sensor Dampener II	3032	3790000030.32	2527714687.54	1262285342.78
Remote Tracking Computer II	3032	2361921936.0	1915728034.68	446193901.32
Scourge Fury Cruise Missile	4925000	2579616500.00	1597419120.35	982197379.65
Scourge Fury Light Missile	14780000	1142198400.00	628232763.27	513965636.73
Scourge Precision Cruise Missile	4925000	2210290750.00	1597419120.35	612871629.65
Scourge Precision Light Missile	14780000	895520200.00	628232763.27	267287436.73
Scourge Rage Torpedo	4925000	8865000000.0	4814345227.36	4050654772.64
Sensor Booster II	3032	3789965738.4	1809733586.23	1980232152.17
Shield Boost Amplifier II	3032	2175460000.0	1657571863.05	517888136.95
Signal Amplifier II	6064	2910713936.0	3264387675.47	-353673739.47
Signal Amplifier II	6064	2910713936.0	3264387675.47	-353673739.47
Signal Amplifier II	6064	2910713936.0	3264387675.47	-353673739.47
Signal Amplifier II	6064	2910713936.0	3264387675.47	-353673739.47
Signal Amplifier II	6064	2910713936.0	3264387675.47	-353673739.47
Small Cap Battery II	6064	5154390904.0	1917727851.26	3236663052.74
Small Capacitor Booster II	6064	4729920000.0	2036845526.46	2693074473.54
Small EMP Smartbomb II	6064	1819200000.0	1316827708.33	502372291.67
Small Focused Beam Laser II	6064	4305440000.0	2418894661.44	1886545338.56
Small Focused Pulse Laser II	6064	3025936000.0	2077728299.80	948207700.20
Small Shield Booster II	6064	2576593357.44	1006966451.86	1569626905.58
Small Shield Extender II	6064	2874322901.76	887487904.31	1986834997.45
Spike L	4925000	1137527250.00	824081058.11	313446191.89
Spike S	14780000	576420000.0	332326505.85	244093494.15
Spike S	14780000	576420000.0	332326505.85	244093494.15
Spodumain Mining Crystal II	29566	15306186039.98	6265913131.92	9040272908.06
Thermal Dissipation Field II	3032	4090164968.0	3124276480.15	965888487.85
Thermal Plating II	6064	739808000.0	615424024.68	124383975.32
Tracking Computer II	3032	3031999090.4	1941712225.23	1090286865.17
Tracking Disruptor II	3032	3344645650.24	2086220139.44	1258425510.80
Tracking Enhancer II	6064	4487359514.88	2849591361.65	1637768153.23
Tracking Enhancer II	6064	4487359514.88	2849591361.65	1637768153.23
Wasp II	3153	5659635000.0	3627813047.14	2031821952.86
